[main] DEBUG      | org.springframework.test.context.BootstrapUtils              | Instantiating CacheAwareContextLoaderDelegate from class [org.springframework.test.context.cache.DefaultCacheAwareContextLoaderDelegate] (BootstrapUtils.java:99)
[main] INFO       | org.springframework.boot.test.context.SpringBootTestContextBootstrapper | Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener] (AbstractTestContextBootstrapper.java:245)
[main] TRACE      | org.springframework.core.io.support.SpringFactoriesLoader    | Loaded [org.springframework.boot.test.context.DefaultTestExecutionListenersPostProcessor] names: [org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener$PostProcessor] (SpringFactoriesLoader.java:103)
[main] INFO       | org.springframework.boot.test.context.SpringBootTestContextBootstrapper | Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@542adcfa, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3adf3670, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@5f6e6902, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@54d8236c, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5697f801, org.springframework.test.context.support.DirtiesContextTestExecutionListener@15382815, org.springframework.test.context.transaction.TransactionalTestExecutionListener@39b265c9, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2c64e2d0, org.springframework.test.context.event.EventPublishingTestExecutionListener@45da40ad, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@11f6a083, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3bc00359, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@30b91493, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2771e501, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3a7abd4, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@3846ba32] (AbstractTestContextBootstrapper.java:174)
[main] TRACE      | org.springframework.test.context.TestContextManager          | Registering TestExecutionListener: org.springframework.test.context.web.ServletTestExecutionListener@542adcfa (TestContextManager.java:164)
[main] TRACE      | org.springframework.test.context.TestContextManager          | Registering TestExecutionListener: org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3adf3670 (TestContextManager.java:164)
[main] TRACE      | org.springframework.test.context.TestContextManager          | Registering TestExecutionListener: org.springframework.test.context.event.ApplicationEventsTestExecutionListener@5f6e6902 (TestContextManager.java:164)
[main] TRACE      | org.springframework.test.context.TestContextManager          | Registering TestExecutionListener: org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@54d8236c (TestContextManager.java:164)
[main] TRACE      | org.springframework.test.context.TestContextManager          | Registering TestExecutionListener: org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5697f801 (TestContextManager.java:164)
[main] TRACE      | org.springframework.test.context.TestContextManager          | Registering TestExecutionListener: org.springframework.test.context.support.DirtiesContextTestExecutionListener@15382815 (TestContextManager.java:164)
[main] TRACE      | org.springframework.test.context.TestContextManager          | Registering TestExecutionListener: org.springframework.test.context.transaction.TransactionalTestExecutionListener@39b265c9 (TestContextManager.java:164)
[main] TRACE      | org.springframework.test.context.TestContextManager          | Registering TestExecutionListener: org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2c64e2d0 (TestContextManager.java:164)
[main] TRACE      | org.springframework.test.context.TestContextManager          | Registering TestExecutionListener: org.springframework.test.context.event.EventPublishingTestExecutionListener@45da40ad (TestContextManager.java:164)
[main] TRACE      | org.springframework.test.context.TestContextManager          | Registering TestExecutionListener: org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@11f6a083 (TestContextManager.java:164)
[main] TRACE      | org.springframework.test.context.TestContextManager          | Registering TestExecutionListener: org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3bc00359 (TestContextManager.java:164)
[main] TRACE      | org.springframework.test.context.TestContextManager          | Registering TestExecutionListener: org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@30b91493 (TestContextManager.java:164)
[main] TRACE      | org.springframework.test.context.TestContextManager          | Registering TestExecutionListener: org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2771e501 (TestContextManager.java:164)
[main] TRACE      | org.springframework.test.context.TestContextManager          | Registering TestExecutionListener: org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3a7abd4 (TestContextManager.java:164)
[main] TRACE      | org.springframework.test.context.TestContextManager          | Registering TestExecutionListener: org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@3846ba32 (TestContextManager.java:164)
[main] TRACE      | org.springframework.test.context.TestContextManager          | beforeTestClass(): class [com.safetynet.safetyAlerts.SafetyAlertsApplicationTests] (TestContextManager.java:207)
[main] DEBUG      | org.springframework.test.context.support.AbstractDirtiesContextTestExecutionListener | Before test class: context [DefaultTestContext@5a14a8c1 testClass = SafetyAlertsApplicationTests, testInstance = [null], testMethod = [null], testException = [null], mergedContextConfiguration = [WebMergedContextConfiguration@879f852 testClass = SafetyAlertsApplicationTests, locations = '{}', classes = '{class com.safetynet.safetyAlerts.SafetyAlertsApplication}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[[ImportsContextCustomizer@693676d key = [org.springframework.boot.test.autoconfigure.web.servlet.MockMvcAutoConfiguration, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcWebClientAutoConfiguration, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcWebDriverAutoConfiguration, org.springframework.boot.autoconfigure.security.oauth2.client.servlet.OAuth2ClientAutoConfiguration, org.springframework.boot.autoconfigure.security.oauth2.resource.servlet.OAuth2ResourceServerAutoConfiguration, org.springframework.boot.autoconfigure.security.servlet.SecurityAutoConfiguration, org.springframework.boot.autoconfigure.security.servlet.SecurityFilterAutoConfiguration, org.springframework.boot.autoconfigure.security.servlet.UserDetailsServiceAutoConfiguration, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcSecurityConfiguration]], org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@3013e1e8, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@f9979cf, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.web.client.TestRestTemplateContextCustomizer@3093161a, org.springframework.boot.test.autoconfigure.actuate.metrics.MetricsExportContextCustomizerFactory$DisableMetricExportContextCustomizer@43735ea0, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@4b3fa0b3, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@620e0d36, org.springframework.boot.test.context.SpringBootTestArgs@1, org.springframework.boot.test.context.SpringBootTestWebEnvironment@23bff419], resourceBasePath = 'src/main/webapp', contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map['org.springframework.test.context.web.ServletTestExecutionListener.activateListener' -> true]], class annotated with @DirtiesContext [false] with mode [null]. (AbstractDirtiesContextTestExecutionListener.java:143)
[main] TRACE      | org.springframework.test.context.TestContextManager          | prepareTestInstance(): instance [com.safetynet.safetyAlerts.SafetyAlertsApplicationTests@27a57c66] (TestContextManager.java:238)
[main] DEBUG      | org.springframework.test.context.support.TestPropertySourceUtils | Adding inlined properties to environment: {spring.jmx.enabled=false, org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true} (TestPropertySourceUtils.java:273)
[main] TRACE      | org.springframework.core.io.support.SpringFactoriesLoader    | Loaded [org.springframework.boot.logging.LoggingSystemFactory] names: [org.springframework.boot.logging.logback.LogbackLoggingSystem.Factory, org.springframework.boot.logging.log4j2.Log4J2LoggingSystem.Factory, org.springframework.boot.logging.java.JavaLoggingSystem.Factory] (SpringFactoriesLoader.java:103)
[main] TRACE      | org.springframework.beans.BeanUtils                          | No property editor [org.springframework.boot.logging.LogLevelEditor] found for type org.springframework.boot.logging.LogLevel according to 'Editor' suffix convention (BeanUtils.java:583)
[main] INFO       | com.safetynet.safetyAlerts.SafetyAlertsApplicationTests      | Starting SafetyAlertsApplicationTests using Java 11.0.9.1 on DESKTOP-IV3G66P with PID 11080 (started by ptiqu in C:\Users\ptiqu\Desktop\WorkSpace\P5\safetyAlerts) (StartupInfoLogger.java:55)
[main] INFO       | com.safetynet.safetyAlerts.SafetyAlertsApplicationTests      | No active profile set, falling back to default profiles: default (SpringApplication.java:660)
[main] INFO       | com.safetynet.safetyAlerts.dao.DataDaoImpl                   | Lancement du rapatriement des donnees du Json en cour (DataDaoImpl.java:49)
[main] INFO       | com.safetynet.safetyAlerts.dao.PersonDaoImpl                 | --> SetAllPerson [{ "firstName":"John", "lastName":"Boyd", "address":"1509 Culver St", "city":"Culver", "zip":"97451", "phone":"841-874-6512", "email":"jaboyd@email.com", "firestation":"null", "age":"0", "medicalrecord":"null], { "firstName":"Jacob", "lastName":"Boyd", "address":"1509 Culver St", "city":"Culver", "zip":"97451", "phone":"841-874-6513", "email":"drk@email.com", "firestation":"null", "age":"0", "medicalrecord":"null], { "firstName":"Tenley", "lastName":"Boyd", "address":"1509 Culver St", "city":"Culver", "zip":"97451", "phone":"841-874-6512", "email":"tenz@email.com", "firestation":"null", "age":"0", "medicalrecord":"null], { "firstName":"Roger", "lastName":"Boyd", "address":"1509 Culver St", "city":"Culver", "zip":"97451", "phone":"841-874-6512", "email":"jaboyd@email.com", "firestation":"null", "age":"0", "medicalrecord":"null], { "firstName":"Felicia", "lastName":"Boyd", "address":"1509 Culver St", "city":"Culver", "zip":"97451", "phone":"841-874-6544", "email":"jaboyd@email.com", "firestation":"null", "age":"0", "medicalrecord":"null], { "firstName":"Jonanathan", "lastName":"Marrack", "address":"29 15th St", "city":"Culver", "zip":"97451", "phone":"841-874-6513", "email":"drk@email.com", "firestation":"null", "age":"0", "medicalrecord":"null], { "firstName":"Tessa", "lastName":"Carman", "address":"834 Binoc Ave", "city":"Culver", "zip":"97451", "phone":"841-874-6512", "email":"tenz@email.com", "firestation":"null", "age":"0", "medicalrecord":"null], { "firstName":"Peter", "lastName":"Duncan", "address":"644 Gershwin Cir", "city":"Culver", "zip":"97451", "phone":"841-874-6512", "email":"jaboyd@email.com", "firestation":"null", "age":"0", "medicalrecord":"null], { "firstName":"Foster", "lastName":"Shepard", "address":"748 Townings Dr", "city":"Culver", "zip":"97451", "phone":"841-874-6544", "email":"jaboyd@email.com", "firestation":"null", "age":"0", "medicalrecord":"null], { "firstName":"Tony", "lastName":"Cooper", "address":"112 Steppes Pl", "city":"Culver", "zip":"97451", "phone":"841-874-6874", "email":"tcoop@ymail.com", "firestation":"null", "age":"0", "medicalrecord":"null], { "firstName":"Lily", "lastName":"Cooper", "address":"489 Manchester St", "city":"Culver", "zip":"97451", "phone":"841-874-9845", "email":"lily@email.com", "firestation":"null", "age":"0", "medicalrecord":"null], { "firstName":"Sophia", "lastName":"Zemicks", "address":"892 Downing Ct", "city":"Culver", "zip":"97451", "phone":"841-874-7878", "email":"soph@email.com", "firestation":"null", "age":"0", "medicalrecord":"null], { "firstName":"Warren", "lastName":"Zemicks", "address":"892 Downing Ct", "city":"Culver", "zip":"97451", "phone":"841-874-7512", "email":"ward@email.com", "firestation":"null", "age":"0", "medicalrecord":"null], { "firstName":"Zach", "lastName":"Zemicks", "address":"892 Downing Ct", "city":"Culver", "zip":"97451", "phone":"841-874-7512", "email":"zarc@email.com", "firestation":"null", "age":"0", "medicalrecord":"null], { "firstName":"Reginold", "lastName":"Walker", "address":"908 73rd St", "city":"Culver", "zip":"97451", "phone":"841-874-8547", "email":"reg@email.com", "firestation":"null", "age":"0", "medicalrecord":"null], { "firstName":"Jamie", "lastName":"Peters", "address":"908 73rd St", "city":"Culver", "zip":"97451", "phone":"841-874-7462", "email":"jpeter@email.com", "firestation":"null", "age":"0", "medicalrecord":"null], { "firstName":"Ron", "lastName":"Peters", "address":"112 Steppes Pl", "city":"Culver", "zip":"97451", "phone":"841-874-8888", "email":"jpeter@email.com", "firestation":"null", "age":"0", "medicalrecord":"null], { "firstName":"Allison", "lastName":"Boyd", "address":"112 Steppes Pl", "city":"Culver", "zip":"97451", "phone":"841-874-9888", "email":"aly@imail.com", "firestation":"null", "age":"0", "medicalrecord":"null], { "firstName":"Brian", "lastName":"Stelzer", "address":"947 E. Rose Dr", "city":"Culver", "zip":"97451", "phone":"841-874-7784", "email":"bstel@email.com", "firestation":"null", "age":"0", "medicalrecord":"null], { "firstName":"Shawna", "lastName":"Stelzer", "address":"947 E. Rose Dr", "city":"Culver", "zip":"97451", "phone":"841-874-7784", "email":"ssanw@email.com", "firestation":"null", "age":"0", "medicalrecord":"null], { "firstName":"Kendrik", "lastName":"Stelzer", "address":"947 E. Rose Dr", "city":"Culver", "zip":"97451", "phone":"841-874-7784", "email":"bstel@email.com", "firestation":"null", "age":"0", "medicalrecord":"null], { "firstName":"Clive", "lastName":"Ferguson", "address":"748 Townings Dr", "city":"Culver", "zip":"97451", "phone":"841-874-6741", "email":"clivfd@ymail.com", "firestation":"null", "age":"0", "medicalrecord":"null], { "firstName":"Eric", "lastName":"Cadigan", "address":"951 LoneTree Rd", "city":"Culver", "zip":"97451", "phone":"841-874-7458", "email":"gramps@email.com", "firestation":"null", "age":"0", "medicalrecord":"null]] (PersonDaoImpl.java:120)
